transaction_id,customer_id,product_id,date,quantity
T001,C001,P02,2025-11-15,2
T002,C001,P06,2025-11-15,1
T003,C003,P01,2025-11-16,1
T004,C003,P07,2025-11-16,2
T005,C007,P05,2025-11-17,1
T006,C010,P02,2025-11-18,1
T007,C010,P10,2025-11-18,1
T008,C013,P03,2025-11-19,2
T009,C017,P02,2025-11-19,1
T010,C020,P01,2025-11-20,3
T011,C001,P02,2025-11-22,2
T012,C001,P09,2025-11-22,1
T013,C002,P04,2025-11-23,1
T014,C003,P05,2025-11-24,1
T015,C003,P06,2025-11-24,2
T016,C005,P13,2025-11-25,1
T017,C007,P02,2025-11-26,1
T018,C007,P07,2025-11-26,1
T019,C008,P04,2025-11-27,2
T020,C010,P02,2025-11-28,1
T021,C010,P11,2025-11-28,1
T022,C011,P14,2025-11-29,1
T023,C013,P01,2025-11-30,1
T024,C013,P06,2025-11-30,2
T025,C014,P15,2025-12-01,1
T026,C016,P04,2025-12-02,1
T027,C017,P05,2025-12-03,2
T028,C019,P02,2025-12-04,1
T029,C020,P03,2025-12-05,1
T030,C020,P12,2025-12-05,1
T031,C001,P02,2025-12-07,2
T032,C001,P10,2025-12-07,1
T033,C003,P01,2025-12-08,1
T034,C003,P08,2025-12-08,1
T035,C007,P02,2025-12-09,2
T036,C007,P09,2025-12-09,1
T037,C010,P05,2025-12-10,1
T038,C010,P06,2025-12-10,2
T039,C013,P02,2025-12-11,1
T040,C013,P07,2025-12-11,1
T041,C017,P01,2025-12-12,2
T042,C020,P02,2025-12-13,1
T043,C020,P10,2025-12-13,1
T044,C001,P05,2025-12-15,1
T045,C001,P09,2025-12-15,1
T046,C002,P03,2025-12-16,1
T047,C003,P02,2025-12-17,2
T048,C003,P06,2025-12-17,1
T049,C005,P13,2025-12-18,1
T050,C007,P01,2025-12-19,1
T051,C007,P08,2025-12-19,2
T052,C008,P04,2025-12-20,1
T053,C010,P02,2025-12-21,2
T054,C010,P12,2025-12-21,1
T055,C013,P05,2025-12-22,1
T056,C013,P09,2025-12-22,1
T057,C014,P14,2025-12-23,1
T058,C017,P02,2025-12-24,1
T059,C017,P07,2025-12-24,2
T060,C019,P03,2025-12-26,1
T061,C020,P01,2025-12-27,2
T062,C020,P10,2025-12-27,1
T063,C001,P02,2025-12-29,2
T064,C001,P06,2025-12-29,1
T065,C003,P05,2025-12-30,1
T066,C003,P09,2025-12-30,1
T067,C007,P02,2025-12-31,1
T068,C007,P11,2025-12-31,1
T069,C010,P01,2026-01-02,2
T070,C010,P08,2026-01-02,1
T071,C013,P02,2026-01-03,1
T072,C013,P06,2026-01-03,2
T073,C017,P05,2026-01-04,1
T074,C017,P09,2026-01-04,1
T075,C020,P02,2026-01-05,2
T076,C020,P12,2026-01-05,1
T077,C001,P01,2026-01-07,1
T078,C001,P07,2026-01-07,2
T079,C003,P02,2026-01-08,1
T080,C003,P06,2026-01-08,1
T081,C007,P05,2026-01-09,2
T082,C007,P09,2026-01-09,1
T083,C010,P02,2026-01-10,1
T084,C010,P10,2026-01-10,1
T085,C013,P01,2026-01-11,2
T086,C013,P08,2026-01-11,1
T087,C017,P02,2026-01-12,1
T088,C017,P06,2026-01-12,2
T089,C020,P05,2026-01-13,1
T090,C020,P07,2026-01-13,1
T091,C001,P02,2026-01-15,2
T092,C001,P12,2026-01-15,1
T093,C003,P01,2026-01-16,1
T094,C003,P09,2026-01-16,1
T095,C007,P02,2026-01-17,2
T096,C007,P06,2026-01-17,1
T097,C010,P05,2026-01-18,1
T098,C010,P07,2026-01-18,2
T099,C013,P02,2026-01-19,1
T100,C013,P11,2026-01-19,1
T101,C017,P01,2026-01-20,2
T102,C017,P08,2026-01-20,1
T103,C020,P02,2026-01-21,1
T104,C020,P10,2026-01-21,1
T105,C001,P05,2026-01-23,1
T106,C001,P06,2026-01-23,2
T107,C003,P02,2026-01-24,1
T108,C007,P01,2026-01-25,2
T109,C010,P02,2026-01-26,1
T110,C013,P05,2026-01-27,1
