transaction_id,sale_date,store_id,region,product_category,units_sold,unit_price,discount_pct,payment_type,reported_revenue,calculated_revenue,revenue_delta
10049,2025-01-23,S03,north,coffee,11.0,4.98,5,mobile,51.66,52.04,-0.38
10100,2025-01-09,S04,east,tea,8.0,10.27,0,mobile,81.66,82.16,-0.5
10302,2025-01-15,S01,south,tea,5.0,6.8,0,mobile,33.17,34.0,-0.83
10058,2025-03-09,S03,north,smoothie,7.0,8.72,0,card,61.63,61.04,0.59
10375,2025-02-04,S01,north,pastry,9.0,8.34,5,card,71.28,71.31,-0.03
10045,2025-03-03,S04,west,pastry,17.0,9.21,0,cash,36.53,113.0975,-1068.67
10405,2025-01-11,S04,west,tea,8.0,6.73,0,card,53.5,53.84,-0.34
10404,2025-02-28,S01,south,smoothie,9.0,5.55,15,mobile,43.04,42.46,0.58
10303,2025-02-09,S02,west,tea,8.0,6.13,5,card,46.48,46.59,-0.11
10122,2025-03-04,S03,south,coffee,8.0,7.17,15,cash,49.22,48.76,0.46
10388,2025-01-06,S04,west,sandwich,12.0,8.54,10,card,91.77,92.23,-0.46
10205,2025-01-20,S01,east,pastry,3.0,5.06,5,card,13.36,14.42,-1.06
10362,2025-02-11,S01,south,sandwich,12.0,6.82,0,mobile,82.29,81.84,0.45
10033,2025-01-18,S02,north,coffee,11.0,8.13,0,mobile,89.87,89.43,0.44
10163,2025-01-14,S01,east,coffee,4.0,5.28,0,cash,21.15,21.12,0.03
10061,2025-02-01,S03,north,coffee,11.0,4.56,0,card,50.2,50.16,0.04
10164,2025-01-26,S01,west,coffee,10.0,9.93,10,card,88.68,89.37,-0.69
10142,2025-01-20,S02,east,pastry,8.0,7.58,15,card,64.48,51.54,12.94
10050,2025-02-06,S01,south,tea,9.0,7.43,10,card,59.7,60.18,-0.48
10311,2025-02-14,S02,south,coffee,10.0,8.46,0,card,84.0,84.6,-0.6
10300,2025-01-11,S03,east,pastry,6.0,9.46,0,card,56.19,56.76,-0.57
10242,2025-01-26,S03,west,coffee,8.0,4.39,10,cash,31.13,31.61,-0.48
10008,2025-01-29,S03,north,pastry,11.0,6.38,0,card,69.75,70.18,-0.43
10165,2025-03-15,S03,north,coffee,13.0,5.12,15,card,56.84,56.58,0.26
10336,2025-03-04,S03,south,tea,8.0,8.33,0,card,67.3,66.64,0.66
10187,2025-03-03,S02,north,sandwich,9.0,7.13,0,card,64.21,64.17,0.04
10180,2025-02-17,S03,north,smoothie,7.0,4.67,5,card,32.6,31.06,1.54
10101,2025-01-04,S04,east,coffee,6.0,7.56,0,card,45.45,45.36,0.09
10209,2025-01-30,S01,east,tea,10.0,5.46,5,cash,52.21,51.87,0.34
10126,2025-02-01,S02,east,coffee,11.0,7.94,15,cash,74.78,74.24,0.54
10081,2025-01-09,S03,west,smoothie,9.0,9.18,0,mobile,99.82,82.62,17.2
10382,2025-03-02,S04,east,pastry,6.0,4.68,0,cash,29.11,28.08,1.03
10007,2025-02-04,S03,north,pastry,6.0,7.0,0,mobile,42.78,42.0,0.78
10047,2025-03-12,S02,north,smoothie,11.0,7.7,5,card,79.22,80.46,-1.24
10004,2025-03-15,S03,north,tea,12.0,5.75,5,card,65.65,65.55,0.1
10378,2025-03-09,S02,east,coffee,12.0,6.19,10,card,66.7,66.85,-0.15
10137,2025-02-15,S04,north,coffee,5.0,3.6,0,card,17.38,18.0,-0.62
10155,2025-02-04,S01,east,smoothie,4.0,6.34,5,card,29.97,24.09,5.88
10203,2025-02-04,S02,south,tea,10.0,5.14,0,card,51.99,51.4,0.59
10335,2025-01-11,S01,north,smoothie,9.0,6.68,5,mobile,57.65,57.11,0.54
10399,2025-01-02,S02,south,pastry,8.0,6.92,20,cash,45.04,44.29,0.75
10340,2025-02-25,S04,north,coffee,7.0,7.16,0,card,50.22,50.12,0.1
10259,2025-01-30,S01,north,coffee,4.0,7.2,0,card,29.45,28.8,0.65
10138,2025-01-07,S02,east,coffee,9.0,4.45,0,mobile,39.73,40.05,-0.32
10156,2025-01-01,S03,east,tea,10.0,6.95,5,card,66.03,66.02,0.01
10051,2025-02-28,S01,north,coffee,9.0,6.34,0,card,58.33,57.06,1.27
10347,2025-01-21,S04,north,tea,9.0,7.35,5,cash,62.57,62.84,-0.27
