transaction_id,sale_date,store_id,region,product_category,units_sold,unit_price,discount_pct,payment_type,reported_revenue
10049,23-Jan-2025,S03,north,coffee,11.0,4.98,5,mobile,51.66
10100,2025-01-09,S04,Est,Tea,8.0,10.27,0,mobile,81.66
10302,01/15/2025,S01,Sth,te,5.0,6.8,0,app pay,33.17
10383,not_a_date,S03, West, tea,9.0,9.41,0,debit card,85.09
10058,09-Mar-2025,S03,NORTH,smothie,7.0,8.72,0,debit card,61.63
10375,2025-02-04,S01,NORTH,pastrie,9.0,8.34,5,card,71.28
10045,2025-03-03,S04,west,pastrie,120.0,9.21,0, bills,36.53
10405,11-Jan-2025,S04,Wst, tea,8.0,6.73,0,card,53.5
10191,2025-02-30,S04,South,coffee,12.0,7.19,5,app pay,82.03
10404,2025-02-28,S01,SOUTH,Smoothie,9.0,5.55,15,Mobile,43.04
10303,2025-02-09,S02,WEST,TEA,8.0,6.13,5,CARD,46.48
10122,03/04/2025,S03,SOUTH,coffee,8.0,7.17,15,CASH,49.22
10388,2025-01-06,S04, West, sandwich,12.0,8.54,10,CARD,91.77
10205,2025-01-20,S01,east,pastry,3.0,5.06,5,credit,13.36
10362,02/11/2025,S01,Sth,sandwhich,12.0,6.82,0,Mobile,82.29
10033,18-Jan-2025,S02,Nrth,COFFEE,11.0,8.13,0,app pay,89.87
10163,01/14/2025,S01,East,coffee,4.0,5.28,0,CASH,21.15
10061,2025-02-01,S03,North , coffee ,11.0,4.56,0,debit card,50.2
10164,01/26/2025,S01,Wst,COFFEE,10.0,9.93,10,Card,88.68
10142,01/20/2025,S02,East ,pastry,8.0,7.58,15,Card,64.48
10050,06-Feb-2025,S01,SOUTH,te,9.0,7.43,10,Card,59.7
10311,2025-02-14,S02,South,cofee,10.0,8.46,0,,84.0
10300,01/11/2025,S03,EAST,pastrie,6.0,9.46,0,card,56.19
10242,2025-01-26,S03,Wst,coffee,8.0,4.39,10,Cash,31.13
10008,2025-01-29,S03,NORTH,pastrie,11.0,6.38,0,CARD,69.75
10165,2025-03-15,S03,north, coffee ,13.0,5.12,15,debit card,56.84
10336,03/04/2025,S03,Sth,Tea,8.0,8.33,0,debit card,67.3
10187,03-Mar-2025,S02,NORTH,Sandwich,9.0,7.13,0,CARD,64.21
10180,2025-02-17,S03,North,smothie,7.0,4.67,5,debit card,32.6
10101,2025-01-04,S04,Est,Coffee,6.0,7.56,0,credit,45.45
10209,2025-01-30,S01,East,tea,10.0,5.46,5,CASH,52.21
10126,02/01/2025,S02,east,cofee,11.0,7.94,15,cash ,74.78
10081,2025-01-09,S03,WEST,smothie,,9.18,0,Mobile,99.82
10382,2025-03-02,S04,east,pastry,6.0,4.68,0,CASH,29.11
10007,04-Feb-2025,S03,Nrth,pastrie,6.0,7.0,0,mobile,42.78
10047,2025-03-12,S02,north,smoothie,11.0,7.7,5,credit,79.22
10004,15-Mar-2025,S03,north,tea,12.0,5.75,5,CARD,65.65
10378,03/09/2025,S02,East,cofee,12.0,6.19,10,,66.7
10137,02/15/2025,S04,north,Coffee,5.0,3.6,0,credit,17.38
10155,2025-02-04,S01,Est,Smoothie,4.0,,5,debit card,29.97
10203,2025-02-04,S02,South,te,10.0,5.14,0,credit,51.99
10335,2025-01-11,S01,north,smoothie,9.0,6.68,5,Mobile,57.65
10399,01/02/2025,S02, South,PASTRY,8.0,6.92,20,cash,45.04
10340,02/25/2025,S04,North ,coffee,7.0,7.16,0,debit card,50.22
10259,2025-01-30,S01,Nrth,coffee,4.0,7.2,0,Card,29.45
10138,01/07/2025,S02,east,COFFEE,9.0,4.45,0,app pay,39.73
10156,2025-01-01,S03,East,TEA,10.0,6.95,5,Card,66.03
10051,2025-02-28,S01,NORTH,Coffee,9.0,,0,CARD,58.33
10347,01/21/2025,S04,NORTH,tea,9.0,7.35,5,cash ,62.57
10072,2025-01-27,S02,North ,Coffee,5.0,1.5,10,debit card,6.03
10181,2025-01-24,S04,Nrth,Coffee,7.0,6.08,10,card,38.67
10317,2025-01-04,S02,Nrth,PASTRY,9.0,4.0,5,Card,35.33
10418,2025-03-03,S03,EAST,sandwhich,4.0,4.98,0,CARD,20.05
10167,2025-01-19,S04,WEST, coffee ,11.0,4.66,10,card,46.08
10328,2025-02-20,S02,South,TEA,160.0,8.37,5,Mobile,71.4
10416,2025-01-29,S01,north,coffee,10.0,7.68,0, bills,76.27
10172,01-Jan-2025,S02, West,Coffee,6.0,4.99,0,credit,31.8
10094,01/26/2025,S02,East ,smoothie,11.0,6.57,0,app pay,72.19
