candidate_id,gender,years_experience,resume_score,interview_score,actual_hired,model_predicted_hired
1492,Male,9,65.0,34.8,0,0
1419,Female,6,76.1,75.5,1,1
1252,Male,5,94.0,100.0,1,1
1104,Male,2,75.8,91.0,0,1
1176,Female,11,80.9,79.9,1,1
1460,Male,4,65.5,41.3,0,0
1403,Male,2,66.2,70.7,1,1
1047,Male,11,48.8,88.7,1,1
1180,Male,1,73.0,55.5,1,1
1031,Female,3,74.9,62.6,0,1
1232,Male,2,75.3,45.7,0,0
1215,Male,10,59.0,36.7,0,0
1007,Female,2,52.2,70.7,0,0
1094,Female,10,81.8,48.2,0,0
1311,Male,5,61.7,65.3,1,0
1481,Female,9,77.5,70.4,0,1
1337,Male,14,65.1,89.0,1,1
1349,Male,9,79.1,66.7,1,1
1085,Male,13,75.3,39.4,0,0
1322,Female,10,72.8,67.9,1,1
1372,Female,8,72.0,94.8,0,0
1384,Female,13,68.6,69.6,1,1
1041,Male,11,88.4,66.5,1,1
1471,Male,1,76.9,79.6,1,1
1155,Female,2,86.3,53.0,0,1
1235,Male,6,89.3,59.6,0,1
1426,Female,5,66.0,81.4,1,1
1178,Male,8,76.1,67.3,1,1
1127,Male,1,71.9,57.3,0,1
1281,Male,8,67.1,87.9,1,1
1383,Male,7,72.4,41.5,0,0
1381,Male,7,63.1,47.6,0,0
1008,Male,11,56.6,58.2,0,0
1310,Male,8,63.9,77.0,1,1
1168,Male,1,93.4,57.1,0,1
1116,Male,12,59.6,74.3,1,1
1092,Male,1,76.7,73.5,1,0
1412,Female,6,73.6,78.7,1,1
1103,Female,10,66.9,65.9,1,0
1072,Female,2,86.6,31.2,0,0
1267,Female,10,72.4,73.3,1,1
1033,Female,3,89.4,53.2,1,1
1207,Male,14,76.7,36.1,0,0
1051,Male,6,58.6,68.6,1,0
1050,Female,2,69.7,68.9,0,1
1346,Male,11,86.0,55.0,0,1
1448,Male,1,65.7,98.1,1,1
1153,Male,3,45.0,91.3,1,1
1247,Female,9,67.4,72.1,0,1
1477,Female,9,85.6,50.8,0,0
1196,Female,9,93.6,37.8,1,0
1396,Female,3,74.8,69.7,1,1
1461,Male,1,78.5,56.0,1,1
1049,Male,7,68.6,87.3,0,1
1210,Female,6,83.9,44.4,0,0
1333,Female,6,49.4,68.4,0,0
1288,Male,12,49.3,67.6,0,0
1451,Female,13,65.3,42.7,0,0
1045,Female,14,100.0,64.1,1,1
1342,Female,11,69.2,77.8,1,1
1119,Male,3,60.3,57.9,0,0
1302,Female,1,42.0,73.0,0,0
1112,Female,4,61.0,90.3,1,1
1163,Female,12,61.3,44.6,0,0
1390,Female,14,85.3,99.4,1,1
1087,Male,11,56.2,53.0,0,0
1165,Male,3,68.4,90.8,1,1
1416,Female,9,67.0,87.9,1,1
1397,Female,7,80.8,72.9,1,1
1114,Male,7,85.4,48.2,1,1
1058,Female,6,68.0,68.2,1,1
1175,Male,14,79.6,69.5,1,0
1217,Female,14,76.6,79.3,0,1
1212,Female,8,84.3,50.6,0,0
1221,Female,8,57.1,86.5,1,0
1004,Female,12,57.3,59.1,0,0
1203,Male,9,70.2,80.4,1,1
1441,Male,5,72.4,65.4,0,1
1442,Male,9,71.9,36.0,0,0
1276,Male,8,71.3,42.0,0,0
1172,Female,2,79.7,94.1,1,1
1293,Male,12,71.7,90.1,0,0
1195,Female,14,71.0,35.4,0,0
1242,Female,3,86.6,66.1,1,1
1101,Male,14,90.0,73.5,0,1
1029,Female,5,56.6,69.2,0,0
1052,Male,10,79.0,66.7,0,1
1345,Female,10,77.4,54.1,0,0
1209,Female,5,70.5,80.7,1,1
1260,Female,5,100.0,72.9,1,0
1472,Female,6,73.4,80.1,1,0
1343,Female,10,72.9,79.2,1,1
1143,Male,13,58.6,76.5,0,0
1263,Male,10,83.6,66.4,1,1
1073,Male,7,68.1,46.7,0,0
1456,Male,1,80.4,71.6,1,1
1223,Male,6,74.6,62.8,0,1
1446,Male,8,66.0,82.7,1,0
1189,Male,3,74.4,68.4,1,1
1283,Male,11,71.4,82.4,0,0
1003,Male,14,91.3,63.8,1,1
1126,Male,1,59.6,65.2,0,0
1431,Male,12,68.7,87.7,1,1
1417,Female,1,79.6,73.0,0,1
1325,Female,6,76.8,100.0,1,0
1192,Female,11,72.7,73.5,1,1
1389,Female,13,59.5,65.6,0,0
1081,Male,7,77.8,95.0,1,1
1365,Male,8,77.4,75.6,1,1
1277,Female,9,73.0,80.9,1,0
1011,Male,10,81.8,75.4,0,0
1369,Male,14,88.4,66.3,0,1
1142,Female,14,58.3,76.4,1,0
1064,Female,2,94.2,70.8,0,1
1065,Male,2,69.9,82.4,0,1
1062,Female,13,74.0,83.3,1,1
1246,Female,14,58.5,81.1,0,1
1435,Female,13,75.8,26.8,0,0
1156,Male,10,59.8,93.3,1,1
1054,Female,1,54.1,93.8,0,0
1274,Female,3,60.2,62.3,0,0
1491,Male,14,100.0,83.4,1,0
1295,Female,5,83.4,25.0,0,0
1082,Male,1,65.7,61.8,0,0
1100,Female,10,81.5,63.3,1,1
1157,Female,8,49.7,60.0,0,0
1009,Male,2,66.9,86.4,1,1
1479,Female,14,71.3,58.5,0,0
1329,Male,9,85.9,55.2,0,1
